name,latitude,longitude,stop_number,direction,street
Westbound North Town at North Town,49.80234,-97.18481,61275,Westbound,North Town Road
Eastbound North Town at Bridgeland,49.80216,-97.18481,61274,Eastbound,North Town Road
Northbound Columbia Drive at McGillivray North,49.82064,-97.20697,61151,Northbound,Kenaston Common Drive
Southbound Dovercourt at Henlow,49.81483,-97.18785,60459,Southbound,Dovercourt Drive
Northbound Dovercourt at Henlow,49.81505,-97.18781,60958,Northbound,Dovercourt Drive
Southbound Dovercourt at Scurfield South,49.81624,-97.18901,60456,Southbound,Dovercourt Drive
Eastbound Bridgeland at Beachham,49.80854,-97.1831,61161,Eastbound,Bridgeland Drive
Southbound North Town at Bison,49.80097,-97.18375,62167,Southbound,North Town Road
Northbound North Town at Bison,49.80108,-97.18361,62168,Northbound,North Town Road
Northbound Dovercourt at Scurfield South,49.81645,-97.18894,60959,Northbound,Dovercourt Drive
Westbound Bridgeland at Beachham,49.80878,-97.18281,61167,Westbound,Bridgeland Drive
Westbound Bridgeland at Maple Creek,49.80209,-97.18289,61158,Westbound,Bridgeland Drive
Westbound Scurfield at Dovercourt,49.81781,-97.19056,60913,Westbound,Scurfield Boulevard
Southbound Dovercourt at Scurfield,49.81757,-97.19008,60961,Southbound,Dovercourt Drive
Eastbound Scurfield at Dovercourt,49.81776,-97.1903,60912,Eastbound,Scurfield Boulevard
Eastbound Bridgeland at Maple Creek,49.8021,-97.1825,61170,Eastbound,Bridgeland Drive
Northbound Dovercourt at Scurfield,49.81771,-97.18998,60960,Northbound,Dovercourt Drive
Southbound Kenaston Common at Kenaston (Rona),49.82252,-97.20742,61240,Southbound,Kenaston Common Drive
Northbound Columbia Drive at Kenaston Common,49.82272,-97.20721,61152,Northbound,Kenaston Common Drive
Southbound Frontier at Cadboro,49.7994,-97.18244,63013,Southbound,Frontier Trail
Southbound Kenaston at Wal-Mart,49.82225,-97.19953,60709,Southbound,Kenaston Boulevard
Northbound Kenaston at Wal-Mart,49.82285,-97.20056,60706,Northbound,Kenaston Boulevard
Northbound Frontier at Cadboro,49.79897,-97.18191,62101,Northbound,Frontier Trail
Southbound Dovercourt at Ocean Ridge,49.82051,-97.19221,61122,Southbound,Dovercourt Drive
Northbound Dovercourt at Ocean Ridge,49.82072,-97.19215,61123,Northbound,Dovercourt Drive
Eastbound Arbour Meadow at Bridgeland,49.80688,-97.17478,61164,Eastbound,Arbour Meadow Gate
Westbound Arbour Meadow at Bridgeland,49.80713,-97.17486,61155,Westbound,Arbour Meadow Gate
Eastbound Bridgeland at Poplar Point,49.80373,-97.17772,61171,Eastbound,Bridgeland Drive
