name,latitude,longitude,category
Rotary Centenary Park,49.898491703084666,-97.02495150679017,Park
Chester Square,49.865074471306365,-97.25218562340459,Park
Canoe Bay Park,49.88046471515229,-97.30089575057751,Park
Wayoata Buffer-4,49.89683795756918,-96.98876732381413,Park
South St. Vital Greenway-6,49.8144803639303,-97.09523034745911,Park
Green Valley Bay Park,49.91657556916416,-97.06909695528405,Park
Lord Avenue Park,49.76802698073817,-97.14177479367444,Park
Transcona Stadium Complex,49.90177482751791,-96.99911563275086,Park
Durness Park,49.93163840679675,-97.07941134322247,Park
Lakeshore Park,49.80497219364008,-97.16180262128124,Park
Dr. Jim Shaver Memorial Playground,49.90776151722874,-97.12329589557375,Park
Parc De La Seigneurie,49.83554066027929,-97.05190853833975,Park
Buhler Recreation Park,49.88071345993068,-96.98968708439271,Park
Clifton Bay Park-4,49.89482507627039,-97.18568226878344,Park
Symington Good Year Park,49.884884655429346,-97.00359010038795,Park
Southbridge-Willowlake Riverbank,49.845505446704216,-97.08932361327824,Park
Dockside Way Park,49.83038962820127,-97.05760065246942,Park
Crescent Drive Riverbank,49.83248835746148,-97.14057526053126,Park
Trappiste Monastery Forest,49.757501499682654,-97.15374382420315,Park
